Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Closure_142,No,23,40
Chart_17,Yes,1,6
Closure_85,No,10,38
Closure_104,No,10,40
_,No,0,580
Csv_3,No,8,25
Closure_11,No,7,40
Closure_63,No,6,40
Closure_87,No,26,40
Closure_172,No,18,40
Chart_12,No,10,40
Codec_17,No,10,40
Closure_62,Yes,2,7
Closure_143,No,18,40
Closure_72,No,10,40
Closure_146,No,7,40
Cli_24,No,13,40
Cli_13,No,7,40
Closure_50,No,24,40
Closure_60,No,4,38
Closure_95,No,8,40
Closure_161,No,11,40
Closure_122,No,17,40
Csv_13,No,31,40
Closure_115,No,19,40
Closure_25,No,0,6
Closure_166,No,13,40
Codec_10,No,10,40
Cli_14,No,17,40
Closure_128,No,24,33
Closure_119,No,5,16
Cli_18,No,31,40
Closure_135,No,10,40
Closure_2,No,13,40
Closure_15,No,2,11
Codec_1,No,15,40
Codec_4,No,8,40
Closure_164,No,12,40
Closure_141,No,22,40
Closure_61,No,14,40
Csv_1,No,19,40
Closure_152,No,10,40
Closure_24,No,18,40
Closure_131,No,12,40
Closure_93,No,9,40
Chart_18,No,15,40
Closure_54,No,10,40
Closure_140,No,22,40
Closure_40,Yes,2,9
Closure_81,No,8,40
Closure_58,No,9,37
Csv_9,No,13,40
Chart_1,No,14,40
Closure_138,No,7,40
Closure_3,No,12,28
Lang_6,No,2,9
Math_104,Yes,2,5
Chart_22,No,16,40
Closure_149,No,26,40
Cli_31,No,22,40
Lang_7,No,19,40
Closure_157,No,11,31
Closure_44,No,18,40
Codec_16,No,20,40
Closure_71,No,13,40
Lang_2,No,5,40
Codec_3,No,1,11
Chart_19,No,15,40
Closure_173,No,26,40
Closure_126,Yes,5,33
Cli_22,No,13,40
Csv_5,No,7,40
Chart_13,No,10,40
Chart_10,No,11,40
Closure_65,No,7,17
Closure_82,No,10,33
Chart_25,No,13,40
Chart_26,No,12,40
Closure_137,No,12,21
Closure_84,No,12,40
Lang_9,No,6,40
Cli_35,No,8,40
Closure_73,No,15,40
Cli_15,No,25,40
Closure_66,No,5,33
Codec_9,No,1,8
Closure_10,No,9,18
Closure_106,No,3,40
Chart_4,No,13,40
Closure_89,No,2,8
Closure_133,No,4,40
Chart_5,No,10,40
Closure_48,No,18,40
Closure_21,No,2,13
Closure_46,Yes,21,40
Cli_21,No,10,40
Closure_97,No,16,40
Closure_127,No,7,24
Cli_30,No,22,40
Closure_12,No,7,34
Chart_2,No,13,40
Cli_32,No,15,40
Closure_69,No,4,35
Cli_20,No,18,40
Cli_36,No,13,40
Closure_102,No,9,40
Codec_13,No,15,40
Closure_5,No,8,40
Csv_14,No,4,21
Closure_67,No,9,40
Lang_5,No,7,40
Closure_68,No,18,40
Closure_169,No,8,13
Chart_24,No,8,40
Cli_11,No,18,40
Closure_41,No,9,25
Closure_19,No,0,2
Closure_92,No,12,40
Chart_15,No,10,40
Closure_124,No,13,40
Closure_154,No,17,40
Cli_10,No,8,40
Closure_117,No,9,40
Closure_6,Yes,19,40
Closure_148,No,12,40
Closure_28,No,0,4
Cli_19,No,16,40
Closure_55,No,13,40
Chart_6,No,13,40
Codec_12,No,16,40
Closure_151,No,12,40
Cli_4,No,6,40
Closure_43,No,22,40
Csv_4,No,9,40
Cli_5,Yes,1,5
Lang_4,No,16,40
Cli_37,No,15,40
Closure_99,No,10,32
Closure_114,No,10,40
Math_101,No,12,40
Cli_2,No,12,40
Closure_147,No,0,1
Closure_33,No,23,40
Cli_34,No,11,40
Closure_105,No,9,37
Closure_74,No,15,35
Closure_64,No,4,18
Codec_7,Yes,2,7
Math_106,No,14,31
Closure_103,No,18,32
Lang_10,No,32,40
Closure_9,No,16,40
Lang_3,No,16,36
Closure_123,No,6,40
Math_103,No,19,40
Cli_17,No,12,40
Closure_121,No,4,40
Codec_14,No,5,37
Cli_27,No,4,40
Closure_37,No,11,40
Closure_77,No,10,39
Csv_12,No,5,40
Closure_23,No,1,7
Closure_59,No,12,40
Closure_75,No,13,40
Closure_90,No,11,40
Cli_7,No,13,40
Closure_156,No,12,38
Lang_12,No,9,25
Closure_53,No,11,40
Closure_20,No,13,40
Closure_88,No,8,24
Csv_10,No,17,40
Csv_15,No,14,40
Closure_113,No,8,40
Closure_134,No,4,40
Closure_51,No,14,38
Closure_136,No,22,40
Closure_110,No,25,40
Closure_94,No,12,40
Closure_100,No,22,40
Closure_30,No,15,40
Csv_8,No,27,40
Closure_17,No,0,5
Closure_109,No,10,40
Cli_16,No,16,40
Closure_150,No,6,40
Chart_20,No,5,40
Closure_45,No,17,40
Closure_22,No,29,40
Closure_139,No,23,40
Codec_5,No,8,40
Closure_132,No,6,40
Closure_86,No,7,14
Closure_145,No,7,40
Closure_153,No,27,40
Closure_159,No,9,40
Closure_112,No,14,40
Closure_4,No,8,40
Math_105,Yes,2,8
Closure_160,No,13,40
Cli_6,No,0,19
Closure_42,No,10,40
Closure_101,No,9,40
