Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Cli_32,No,23,40
Closure_69,No,1,40
Math_81,No,13,40
Cli_20,No,18,40
Cli_36,No,6,40
Math_84,No,9,40
Math_29,No,17,79
Closure_102,No,6,40
Codec_13,No,17,40
Closure_5,No,7,40
Closure_67,No,6,40
Closure_68,No,9,40
Closure_169,No,7,40
Chart_24,No,14,40
Cli_11,Yes,1,4
Closure_41,No,9,40
Math_34,No,13,40
Math_88,No,16,40
Closure_19,Yes,3,9
Closure_32,No,18,40
Chart_15,No,14,40
Closure_154,No,7,40
Cli_10,No,13,40
Closure_117,No,0,40
Closure_6,No,6,19
Closure_28,No,0,12
Math_8,No,13,40
Cli_19,No,17,40
Math_40,No,17,40
Closure_55,No,0,40
Math_23,No,11,40
Math_18,No,15,40
Chart_6,No,5,40
Math_75,Yes,3,18
Math_27,Yes,2,5
Codec_12,No,0,40
Closure_151,No,13,40
Cli_4,No,13,40
Closure_43,No,20,40
Cli_5,No,19,40
Math_39,No,1,18
Math_42,No,19,40
Cli_37,No,12,40
Closure_114,No,8,40
Math_101,No,8,40
Cli_2,No,19,40
Math_93,No,21,40
Math_86,Yes,4,15
Math_95,No,24,40
Math_60,No,12,40
Closure_33,No,9,40
Cli_34,No,5,40
Closure_105,No,3,10
Math_20,No,5,40
Closure_64,No,4,40
Codec_7,Yes,1,15
Math_106,No,19,40
Closure_103,No,8,40
Closure_9,No,16,40
Math_54,No,10,40
Math_2,Yes,1,37
Math_33,Yes,1,8
Math_83,No,8,40
Math_98,Yes,1,6
Cli_17,No,11,40
Math_1,No,0,40
Codec_14,No,6,40
Cli_27,Yes,5,23
Closure_37,No,18,40
Math_15,No,10,33
Closure_23,No,14,40
Closure_59,No,1,40
Math_6,No,4,40
Math_53,No,4,40
Cli_7,No,13,40
Closure_156,No,5,40
Closure_53,No,20,40
Closure_20,No,8,40
Math_21,No,10,40
Closure_113,No,6,40
Math_13,No,9,40
Closure_51,No,16,40
Math_35,No,11,40
Closure_110,No,8,40
Math_32,No,8,40
Math_65,No,16,40
Closure_30,No,6,40
Closure_17,No,13,40
Math_24,No,0,9
Math_36,No,11,40
Closure_109,No,9,35
Cli_16,No,7,40
Chart_20,Yes,1,4
Closure_45,No,12,40
Closure_22,No,4,40
Math_28,No,12,40
Codec_5,No,0,40
Closure_153,No,5,40
Closure_159,No,17,40
Closure_112,No,8,40
Closure_4,No,7,40
Math_105,Yes,1,6
Closure_160,No,4,40
Math_100,Yes,1,30
Cli_6,No,0,40
Math_92,No,19,40
Closure_42,No,5,40
Math_50,No,14,40
Math_74,No,5,40
Closure_101,No,10,40
Math_94,Yes,1,6
